raw,processed,label
"[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek  di tsel.me/mytsel1 S&K",promo beli paket flash mulai gb my telkomsel app dapat extra kuota gb lte extra nelpon minta hari buru cek tsel me mytsel,1
2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K,gb hari rp ribu spesial pilih aktif promo sd nov buru aktif,1
"2016-07-08 11:47:11.Plg Yth, sisa kuota Flash Anda 478KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",pulang yang hormat sisa kuota flash kb download mytelkomsel apps untuk cek kuota beli paket flash hubung,1
4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB,gb hari rp ribu spesial pilih aktif buru skb,1
5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,hari ekstra pulsa ribu dengan beli paket internet bulan mytelkomsel untuk beli pertama sejak aug september cek detail promo tsel me mytsel,1
"Ada iRing dgn tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call. Info: 100&111",iring dengan tarif rp hari panjang rp hari hits armada curi hati tekan ok call informasi,1
Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl,akhir bulan tetap eks loh internetan pakai volume ultima mbak hari hrga mulai rp ribu tarif lokasi cek tsel me fl,1
"Aktifkan iRing Coboy Jr - Terhebat. Tekan *808*7#. Info: 100&111 Ada hits terbaru dari NOAH - Jika Engkau. Aktifkan iRing nya di HP kamu. Ketik MG NOAH02 kirim ke 808 Info: 100&111 Berkah iRing Rp 1000 dr Yuni Shara - Akhirnya. Aktifkan iRing nya, Tkn *808*1*2*3# lalu Ok/Call. Raih THR PuluhanJt!. Berhenti: Unreg ke 808",aktif iring coboy jr hebat tekan informasi hits baru noah engkau aktif iring nya handphone ketik moga noah kirim informasi berkah iring rp dari yuni shara aktif iring nya tkn ok call raih thr puluhanjt henti unreg,1
Ambil bonus harianmu di *600# (Bebas Pulsa). Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu!,ambil bonus hari bebas pulsa dapat gratis nelpon internetan promo sesuai hobi,1
Anda akan berhenti berlangganan Paket Flash. Ketik FLASH<spasi>YA jika setuju. Tunggu SMS konfirmasi penonaktifan Paket Anda,henti langgan paket flash ketik flashya tuju tunggu sms konfirmasi nonaktif paket,1
Anda akan berlangganan paket Rp. 10000 utk 150 MB 2G/3G + 250 MB 3G/90hari. Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan. Paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi Anda. Tunggu SMS konfirmasi sblm pemakaian. Info zona dan detail tarif lihat di Tsel.me/internet,langgan paket rp untuk mbak mbak hari tuju balas flashya kirim untuk lanjut paket panjang akhir masa aktif tarif sesuai lokasi tunggu sms konfirmasi belum pakai informasi zona detail tarif lihat tsel me internet,1
"Anda akan membeli Paket Gampang Internetan Rp.1250 utk Chatting Sepuasnya (BBM, WhatsApp dan Line)/1 hari.Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan.Tunggu SMS konfirmasi sblm pemakaian.Info detail tariff lihat di Tsel.me/internet ",beli paket gampang internetan rp untuk chatting puas bbm whatsapp line hari tuju balas flashya kirim untuk lanjut tunggu sms konfirmasi belum pakai informasi detail tariff lihat tsel me internet,1
"Anda akan menerima setting ponsel, agar ponsel Anda dapat mengakses internet dan berkirim foto/MMS. Jika Anda setuju balas pesan ini (gratis) dengan ketik Y.",terima atur ponsel ponsel akses internet kirim foto mms tuju balas pesan gratis ketik,1
Anda akan mengaktifkan Paket BBM Gratis berlaku 30 hari dari pertama kali aktivasi. Ketik FLASH (spasi) YA untuk melanjutkan,aktif paket bbm gratis laku hari pertama kali aktivasi ketik flash spasi iya untuk lanjut,1
Anda mendapatkan 1 kupon dalam program Kartu As BIBER (Beli Internet Berhadiah). Cek total kupon maksimal 1x24 jam dari skrg di *100*123#. Info lengkap hub:188,dapat kupon program kartu as biber beli internet hadiah cek total kupon maksimal jam sekarang informasi lengkap hubung,1
Anda sedang menikmati Paket Reguler dgn sisa kuota 209715 KB.Dapatkan beragam Paket INTERNET HEMAT Tri di *123*3#,nikmat paket reguler dengan sisa kuota kb dapat agam paket internet hemat tri,1
Anda tidak terdaftar dalam layanan Paket Malam hari. Untuk berlangganan lakukan isi ulang dengan voucher Kenyang Download,daftar layan paket malam hari untuk langgan laku isi ulang voucher kenyang download,1
"Anda tlh menukarkan poin 95 poin, Tukarkan terus poinnya siapa tahu anda pemenang hadih LG G3 32gb, pemenang adalah yang menukarkan poin tertinggi s/d 30 November 15",tlh tukar poin poin tukar terus poin tahu menang hadih lagi gb menang tukar poin tinggi november,1
AngpaoPoinSenyum! Dptkan Vchr Lottemart 50rb dg tukar 2500poin (normal 5000poin) sd 11Feb16. Ketik *123*7887*2*5# TERBATAS! Info: www.indosatooredoo.com/angpao,angpaopoinsenyum dapat vchr lottema ribu dengan tukar poin normal poin sd feb ketik batas informasi indosatooredoo com angpao,1
Awal bulan saat nya anda eksis lebih lama! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/FL,awal bulan nya eks internetan pakai volume ultima mbak hari hrga mulai rp ribu tarif lokasi cek tsel me fl,1
"Ayam (sayap/paha bawah), Nasi, Perkedel Rp. 19.545. GRATIS Teh Pucuk. Tukar SMS ini di CFC HASAN SADIKIN hari ini. Selama Persediaan msh ada. Promo *606#",ayam sayap paha bawah nasi perkedel rp gratis kakak perempuan pucuk tukar sms cfc hasan sadikin hari sedia masih promo,1
"Ayo anak Medan, beli sticker line dengan pulsamu Caranya klik http://www.telkomsel.com/linestore nama stickernya : Kedan Medan",ayo anak medan beli sticker line pulsa cara klik nama stickernya dan medan,1
AYO download AXISnet dari Apple/Play Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 1GB 30hr dapat OBOR 5GB (00-06) Rp18800. Info838. LD335,ayo download axisnet apple play store aktif bronet jam gb hari rp bronet jam gb hari obor gb rp informasi ld,1
AYO download AXISnet dari PLAY/Apple Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 3GB 60hr dapat OBOR 10GB (00-06) Rp39800. Info838. LD307,ayo download axisnet play apple store aktif bronet jam gb hari rp bronet jam gb hari obor gb rp informasi ld,1
Ayo dukung pelestarian alam Indonesia bersama Indosat Ooredoo dan WWF-Indonesia dg berdonasi melalui *123*50# dari nomor Indosat Ooredoo.,ayo dukung lestari alam indonesia indosat ooredoo wwf indonesia dengan donasi nomor indosat ooredoo,1
"Ayo kawal pemanfaatan subsidi BBM & Kompensasi bagi yang berhak! Pengaduan, ketik BBM (spasi) isi pesan. Kirim 1708",ayo kawal manfaat subsidi bbm kompensasi hak adu ketik bbm spasi isi pesan kirim,1
"BANTING HARGA !! Internetan dgn Kuota 1,5GB HANYA 10rb Rupiah, paket Berlaku sebulan. Mau?? Ketik YA ke 919 s/d 16 Desember 2015",banting harga internetan dengan kuota gb ribu rupiah paket laku bulan ketik iya desember,1
BEBAS ekspresikan dirimu bersama Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom,bebas ekspresi diri paket freedom combo indosat ooredoo hubung indosatooredoo com freedom,1
Bebas Pulsa! Ambil bonusmu di *600# (GRATIS). Dptkan gratis nelpon atau internetas atau promo lainnya sesuai hobimu!,bebas pulsa ambil bonus gratis dapat gratis nelpon internetas promo sesuai hobi,1
"Beli 1 Gratis 1 untuk Lychee Tea atau Latte Flavour dari Yellow Truck Jl.Patuha No.29. Tukarkan SMS ini. Hanya berlaku untuk hari ini, S&K Berlaku.Promo *606#",beli gratis untuk lychee tea latte flavour yellow truck jalan patuha no tukar sms laku untuk hari laku promo,1
Beli 2 Gratis 1 atau beli 1 Diskon 25% tiket Kampung Gajah Wonderland Bandung s.d 31 Mei 2013. Tunjukkan SMS kpd Petugas .Info: www.indosat.com/kampunggajah,beli gratis beli diskon tiket kampung gajah wonderland bandung mei tunjuk sms kepada tugas informasi indosat com kampunggajah,1
Beli 6 Gratis 6 Donut dari DUNKIN DONUTS BORMA SETIABUDHI. Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Selama persediaan masih ada. Promo *606#,beli gratis donut dunkin donuts borma setiabudhi tukar sms laku untuk hari sedia promo,1
Beli paket Turbo mulai 50rb utk pembelian pertama di MyTelkomsel App sjk 25Aug - 25Sept dpt EXTRA PULSA TSEL Rp 50rb loh! Cek detail paket di tsel.me/mytsel1,beli paket turbo mulai ribu untuk beli pertama mytelkomsel app sejak aug september dapat extra pulsa tsel rp ribu loh cek detail paket tsel me mytsel,1
"Bisa Internetan 1,5GB CUMA dengan 20rb, paket berlaku 90 hari. MAU?? Ketik YA ke 919. Penawaran berlaku s/d 8 Januari 2016",internetan gb ribu paket laku hari ketik iya tawar laku januari,1
"BONUS KUOTA 500MB (1hr)! Cukup isi ulang min. 5,000 hari ini! Ayo buruan isi pulsa sekarang juga. T514",bonus kuota mbak hari cukup isi ulang min hari ayo buru isi pulsa,1
BONUS PULSA 10RB! Ayo isi pulsa min. 5rb & dapetkan bonus pulsa 10rb utk nelp ke nmr Tri! Hanya hari ini saja! Ayo buruan isi pulsa! T530,bonus pulsa ribu ayo isi pulsa min ribu dapetkan bonus pulsa ribu untuk nelp nomor tri hari ayo buru isi pulsa,1
"BONUS PULSA 50% dari Indosat Ooredoo, MAU?? Ketik *345# dan call dari HP kamu sebelum 28 April 2016",bonus pulsa indosat ooredoo ketik call handphone april,1
